20191227_085705,0.105561,Information,1,1,1,1,There are 2 MIDI Output ports available.
20191227_085705,0.10594,Information,1,1,1,1,Output port #1: Microsoft GS Wavetable Synth 0
20191227_085705,0.106101,Information,1,1,1,1,Output port #2: Focusrite USB MIDI 1
20191227_085705,0.106822,Information,1,1,1,1,Sensor 1 is Leddartech
20191227_085705,0.106914,Information,1,1,1,1,Location 1 is Side
20191227_085705,0.106981,Information,1,1,1,1,Song 1 is one-finger scales
20191227_085705,0.107071,Information,1,1,1,1,Trial # is 1
20191227_085705,0.107147,Information,1,1,1,1,Attempting to Initialize Leap Motion
20191227_085705,0.107536,Information,1,1,1,1,At begining of Master Control's loop
20191227_085705,0.107599,Information,1,1,1,1,Keyboard Resetting keys played
20191227_085705,0.107653,Information,1,1,1,1,Getting values from leap motion
20191227_085705,0.107796,Information,1,1,1,1,Leap Values: [1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000]
20191227_085705,0.107942,Information,1,1,1,1,In MC Loop, Leddar, Idx=0, Leddar=1.000000, Coord=[-38.268388, 0.923879, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[]
20191227_085705,0.108044,Information,1,1,1,1,In MC Loop, Leddar, Idx=1, Leddar=2.000000, Coord=[-66.761451, 1.885283, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[]
20191227_085705,0.108115,Information,1,1,1,1,In MC Loop, Leddar, Idx=2, Leddar=3.000000, Coord=[-85.204706, 2.876459, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[0b≤—Y]
20191227_085705,0.108186,Information,1,1,1,1,In MC Loop, Leddar, Idx=3, Leddar=4.000000, Coord=[-93.378259, 3.889479, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[êk≤—Y]
20191227_085705,0.108256,Information,1,1,1,1,In MC Loop, Leddar, Idx=4, Leddar=5.000000, Coord=[-91.117874, 4.916274, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[e≤—Y]
20191227_085705,0.108326,Information,1,1,1,1,In MC Loop, Leddar, Idx=5, Leddar=6.000000, Coord=[-78.315812, 5.948669, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[n≤—Y]
20191227_085705,0.108396,Information,1,1,1,1,In MC Loop, Leddar, Idx=6, Leddar=7.000000, Coord=[-54.921435, 6.978421, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[n≤—Y]
20191227_085705,0.108466,Information,1,1,1,1,In MC Loop, Leddar, Idx=7, Leddar=8.000000, Coord=[-20.941585, 7.997259, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[êk≤—Y]
20191227_085705,0.108538,Information,1,1,1,1,In MC Loop, Leddar, Idx=8, Leddar=9.000000, Coord=[23.559283, 8.996916, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[‡k≤—Y]
20191227_085705,0.108642,Information,1,1,1,1,In MC Loop, Leddar, Idx=9, Leddar=10.000000, Coord=[78.459192, 9.969173, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[Äg≤—Y]
20191227_085705,0.108717,Information,1,1,1,1,In MC Loop, Leddar, Idx=10, Leddar=11.000000, Coord=[143.578988, 10.905893, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[Po≤—Y]
