20191227_085844,0.115852,Information,1,1,1,1,There are 2 MIDI Output ports available.
20191227_085844,0.116223,Information,1,1,1,1,Output port #1: Microsoft GS Wavetable Synth 0
20191227_085844,0.116384,Information,1,1,1,1,Output port #2: Focusrite USB MIDI 1
20191227_085844,0.117076,Information,1,1,1,1,Sensor 1 is Leddartech
20191227_085844,0.117163,Information,1,1,1,1,Location 1 is Side
20191227_085844,0.11723,Information,1,1,1,1,Song 1 is one-finger scales
20191227_085844,0.117298,Information,1,1,1,1,Trial # is 1
20191227_085844,0.117364,Information,1,1,1,1,Attempting to Initialize Leap Motion
20191227_085844,0.117559,Information,1,1,1,1,At begining of Master Control's loop
20191227_085844,0.117623,Information,1,1,1,1,Keyboard Resetting keys played
20191227_085844,0.117678,Information,1,1,1,1,Getting values from leap motion
20191227_085844,0.117763,Information,1,1,1,1,Leap Values: [1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000]
20191227_085844,0.117855,Information,1,1,1,1,In MC Loop, Leddar, Idx=0, Leddar=1.000000, Coord=[-38.268388, 0.923879, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[None]
20191227_085844,0.117928,Information,1,1,1,1,In MC Loop, Leddar, Idx=1, Leddar=2.000000, Coord=[-66.761451, 1.885283, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[None]
20191227_085844,0.118001,Information,1,1,1,1,In MC Loop, Leddar, Idx=2, Leddar=3.000000, Coord=[-85.204706, 2.876459, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[None]
20191227_085844,0.118071,Information,1,1,1,1,In MC Loop, Leddar, Idx=3, Leddar=4.000000, Coord=[-93.378259, 3.889479, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[None]
20191227_085844,0.118141,Information,1,1,1,1,In MC Loop, Leddar, Idx=4, Leddar=5.000000, Coord=[-91.117874, 4.916274, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[None]
20191227_085844,0.118211,Information,1,1,1,1,In MC Loop, Leddar, Idx=5, Leddar=6.000000, Coord=[-78.315812, 5.948669, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[None]
20191227_085844,0.11828,Information,1,1,1,1,In MC Loop, Leddar, Idx=6, Leddar=7.000000, Coord=[-54.921435, 6.978421, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[None]
20191227_085844,0.11835,Information,1,1,1,1,In MC Loop, Leddar, Idx=7, Leddar=8.000000, Coord=[-20.941585, 7.997259, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[None]
20191227_085844,0.11842,Information,1,1,1,1,In MC Loop, Leddar, Idx=8, Leddar=9.000000, Coord=[23.559283, 8.996916, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[None]
20191227_085844,0.118519,Information,1,1,1,1,In MC Loop, Leddar, Idx=9, Leddar=10.000000, Coord=[78.459192, 9.969173, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[None]
20191227_085844,0.118593,Information,1,1,1,1,In MC Loop, Leddar, Idx=10, Leddar=11.000000, Coord=[143.578988, 10.905893, 0.000000], FinalFingerPos=[-92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000, -92559631349317830736831783200707727132248687965119994463780864.000000], Midi=[None]
