Working Directory: `C:\Users\Sami\Desktop\SRT\Code\Translation_to_keyboard_code`
Log File `./LogFiles/Log20200210_1156.txt` opened OK.
CSV File `./LogFiles/Log20200210_1156.csv` opened OK.
20200210_115629,0.194804,Information,3,1,1,0,There are 1 MIDI Output ports available.
20200210_115629,0.194984,Information,3,1,1,0,Output port #1: Microsoft GS Wavetable Synth 0
20200210_115629,0.195760,Information,3,1,1,0,Sensor 3 is Leddartech
20200210_115629,0.195777,Information,3,1,1,0,Location 1 is Side
20200210_115629,0.195787,Information,3,1,1,0,Song 1 is one-finger scales
20200210_115629,0.195799,Information,3,1,1,0,Trial # is 0
20200210_115629,0.195817,Information,3,1,1,0,Attempting to start the realsense
20200210_115630,0.789552,Information,3,1,1,0,At begining of Master Control's loop
20200210_115630,0.795223,DEBUG!,3,1,1,0,======================
20200210_115630,0.795256,DEBUG!,3,1,1,0,Keyboard Resetting keys played
20200210_115630,0.795283,DEBUG!,3,1,1,0,In Realsense GetPointCloud
20200210_115630,0.795304,DEBUG!,3,1,1,0,Never leaving Realsense GetPointCloud
20200210_115630,1.504346,Information,3,1,1,0,In MC Loop, Realsense, Idx=0, Coord=[6.780463, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 11.860463, -14.138871], Midi=[None]
20200210_115630,1.504368,Information,3,1,1,0,In MC Loop, Realsense, Idx=1, Coord=[6.932034, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 12.012034, -14.138871], Midi=[None]
20200210_115630,1.504384,Information,3,1,1,0,In MC Loop, Realsense, Idx=2, Coord=[7.083605, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 12.163605, -14.138871], Midi=[None]
20200210_115630,1.504400,Information,3,1,1,0,In MC Loop, Realsense, Idx=3, Coord=[7.235177, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 12.315177, -14.138871], Midi=[None]
20200210_115630,1.504416,Information,3,1,1,0,In MC Loop, Realsense, Idx=4, Coord=[7.689889, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 12.769889, -14.138871], Midi=[None]
20200210_115630,1.504431,Information,3,1,1,0,In MC Loop, Realsense, Idx=5, Coord=[7.841460, 15.638871, 32.799999], FinalFingerPos=[-39.799999, 12.921460, -14.138871], Midi=[None]
20200210_115630,1.504447,Information,3,1,1,0,In MC Loop, Realsense, Idx=6, Coord=[6.780463, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 11.860463, -14.290442], Midi=[None]
20200210_115630,1.504462,Information,3,1,1,0,In MC Loop, Realsense, Idx=7, Coord=[6.932034, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 12.012034, -14.290442], Midi=[None]
20200210_115630,1.504478,Information,3,1,1,0,In MC Loop, Realsense, Idx=8, Coord=[7.083605, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 12.163605, -14.290442], Midi=[None]
20200210_115630,1.504493,Information,3,1,1,0,In MC Loop, Realsense, Idx=9, Coord=[7.235177, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 12.315177, -14.290442], Midi=[None]
20200210_115630,1.504509,Information,3,1,1,0,In MC Loop, Realsense, Idx=10, Coord=[7.386747, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 12.466747, -14.290442], Midi=[None]
20200210_115630,1.504524,Information,3,1,1,0,In MC Loop, Realsense, Idx=11, Coord=[7.538318, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 12.618318, -14.290442], Midi=[None]
20200210_115630,1.504540,Information,3,1,1,0,In MC Loop, Realsense, Idx=12, Coord=[7.689889, 15.790442, 32.799999], FinalFingerPos=[-39.799999, 12.769889, -14.290442], Midi=[None]
20200210_115630,1.504556,Information,3,1,1,0,In MC Loop, Realsense, Idx=13, Coord=[17.455168, 9.420634, 19.200001], FinalFingerPos=[-26.200001, 22.535168, -7.920634], Midi=[None]
20200210_115630,1.504571,Information,3,1,1,0,In MC Loop, Realsense, Idx=14, Coord=[17.366444, 9.509358, 19.200001], FinalFingerPos=[-26.200001, 22.446444, -8.009358], Midi=[None]
20200210_115630,1.504587,Information,3,1,1,0,In MC Loop, Realsense, Idx=15, Coord=[17.455168, 9.509358, 19.200001], FinalFingerPos=[-26.200001, 22.535168, -8.009358], Midi=[None]
20200210_115630,1.504603,Information,3,1,1,0,In MC Loop, Realsense, Idx=16, Coord=[17.543892, 9.509358, 19.200001], FinalFingerPos=[-26.200001, 22.623892, -8.009358], Midi=[None]
20200210_115630,1.504618,Information,3,1,1,0,In MC Loop, Realsense, Idx=17, Coord=[17.632618, 9.509358, 19.200001], FinalFingerPos=[-26.200001, 22.712618, -8.009358], Midi=[None]
20200210_115630,1.504634,Information,3,1,1,0,In MC Loop, Realsense, Idx=18, Coord=[17.721342, 9.509358, 19.200001], FinalFingerPos=[-26.200001, 22.801342, -8.009358], Midi=[None]
20200210_115630,1.504649,Information,3,1,1,0,In MC Loop, Realsense, Idx=19, Coord=[17.100269, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.180269, -8.098083], Midi=[None]
20200210_115630,1.504665,Information,3,1,1,0,In MC Loop, Realsense, Idx=20, Coord=[17.188995, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.268995, -8.098083], Midi=[None]
20200210_115630,1.504680,Information,3,1,1,0,In MC Loop, Realsense, Idx=21, Coord=[17.277719, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.357719, -8.098083], Midi=[None]
20200210_115630,1.504696,Information,3,1,1,0,In MC Loop, Realsense, Idx=22, Coord=[17.366444, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.446444, -8.098083], Midi=[None]
20200210_115630,1.504711,Information,3,1,1,0,In MC Loop, Realsense, Idx=23, Coord=[17.455168, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.535168, -8.098083], Midi=[None]
20200210_115630,1.504727,Information,3,1,1,0,In MC Loop, Realsense, Idx=24, Coord=[17.543892, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.623892, -8.098083], Midi=[None]
20200210_115630,1.504742,Information,3,1,1,0,In MC Loop, Realsense, Idx=25, Coord=[17.632618, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.712618, -8.098083], Midi=[None]
20200210_115630,1.504758,Information,3,1,1,0,In MC Loop, Realsense, Idx=26, Coord=[17.721342, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.801342, -8.098083], Midi=[None]
20200210_115630,1.504774,Information,3,1,1,0,In MC Loop, Realsense, Idx=27, Coord=[17.810066, 9.598083, 19.200001], FinalFingerPos=[-26.200001, 22.890066, -8.098083], Midi=[None]
20200210_115630,1.504789,Information,3,1,1,0,In MC Loop, Realsense, Idx=28, Coord=[17.100269, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.180269, -8.186807], Midi=[None]
20200210_115630,1.504805,Information,3,1,1,0,In MC Loop, Realsense, Idx=29, Coord=[17.188995, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.268995, -8.186807], Midi=[None]
20200210_115630,1.504821,Information,3,1,1,0,In MC Loop, Realsense, Idx=30, Coord=[17.277719, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.357719, -8.186807], Midi=[None]
20200210_115630,1.504836,Information,3,1,1,0,In MC Loop, Realsense, Idx=31, Coord=[17.366444, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.446444, -8.186807], Midi=[None]
20200210_115630,1.504852,Information,3,1,1,0,In MC Loop, Realsense, Idx=32, Coord=[17.455168, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.535168, -8.186807], Midi=[None]
20200210_115630,1.504868,Information,3,1,1,0,In MC Loop, Realsense, Idx=33, Coord=[17.543892, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.623892, -8.186807], Midi=[None]
20200210_115630,1.504883,Information,3,1,1,0,In MC Loop, Realsense, Idx=34, Coord=[17.632618, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.712618, -8.186807], Midi=[None]
20200210_115630,1.504899,Information,3,1,1,0,In MC Loop, Realsense, Idx=35, Coord=[17.629044, 9.636355, 19.100002], FinalFingerPos=[-26.100002, 22.709044, -8.136355], Midi=[None]
20200210_115630,1.504915,Information,3,1,1,0,In MC Loop, Realsense, Idx=36, Coord=[17.717306, 9.636355, 19.100002], FinalFingerPos=[-26.100002, 22.797306, -8.136355], Midi=[None]
20200210_115630,1.504930,Information,3,1,1,0,In MC Loop, Realsense, Idx=37, Coord=[17.100269, 9.775532, 19.200001], FinalFingerPos=[-26.200001, 22.180269, -8.275532], Midi=[None]
20200210_115630,1.504946,Information,3,1,1,0,In MC Loop, Realsense, Idx=38, Coord=[17.188995, 9.775532, 19.200001], FinalFingerPos=[-26.200001, 22.268995, -8.275532], Midi=[None]
20200210_115630,1.504962,Information,3,1,1,0,In MC Loop, Realsense, Idx=39, Coord=[17.277719, 9.775532, 19.200001], FinalFingerPos=[-26.200001, 22.357719, -8.275532], Midi=[None]
20200210_115630,1.504977,Information,3,1,1,0,In MC Loop, Realsense, Idx=40, Coord=[17.366444, 9.775532, 19.200001], FinalFingerPos=[-26.200001, 22.446444, -8.275532], Midi=[None]
20200210_115630,1.504994,Information,3,1,1,0,In MC Loop, Realsense, Idx=41, Coord=[17.455168, 9.775532, 19.200001], FinalFingerPos=[-26.200001, 22.535168, -8.275532], Midi=[None]
20200210_115630,1.505010,Information,3,1,1,0,In MC Loop, Realsense, Idx=42, Coord=[17.452518, 9.724619, 19.100002], FinalFingerPos=[-26.100002, 22.532518, -8.224619], Midi=[None]
20200210_115630,1.505025,Information,3,1,1,0,In MC Loop, Realsense, Idx=43, Coord=[17.540783, 9.724619, 19.100002], FinalFingerPos=[-26.100002, 22.620783, -8.224619], Midi=[None]
